Evaluation_unit,Date,Avg_Fresh_weight,Avg_Plant_vigor,Avg_Utilization_degree,Semáforo
CHAL-01,6/13/2024,87.4,0.0,0.0,Green
CHAL-03,6/16/2024,113.73333333333333,0.0,0.0,Green
CHAL-04,6/17/2024,204.4,0.0,0.0,Green
CHAL-06,6/20/2024,661.6,0.0,0.0,Green
CHAL-07,6/15/2024,189.73333333333332,0.0,0.0,Green
CHAL-08,6/19/2024,141.53333333333333,0.0,0.0,Green
CHAL-10,6/18/2024,96.6,0.0,0.0,Green
TAM-15,6/12/2024,217.8,0.0,0.0,Green
TAM-17,6/14/2024,225.0,0.0,0.0,Green
TAM-18,6/11/2024,57.53333333333333,0.0,0.0,Green
