Numeration,Evaluation_unit,Transect,Cover,Date,Family,Genus,Indicator_species,Plant_vigor
1,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
2,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
3,TAM-18,NO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,10
4,TAM-18,NO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,16
5,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,8
6,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
7,TAM-18,NO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,18
8,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
9,TAM-18,NO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,7
10,TAM-18,NO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,19
11,TAM-18,SO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,18
12,TAM-18,SO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,13
13,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,7
14,TAM-18,SO,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,17
15,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,6
16,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
17,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,8
18,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
19,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
20,TAM-18,SO,medium,11/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
21,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,13
22,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,13
23,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,8
24,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,8
25,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,31
26,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,15
27,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,21
28,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,16
29,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,11
30,TAM-18,SE,medium,11/6/2024,Poaceae,Festuca,Festuca_peruviana,18
31,CHAL-01,SE,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
32,CHAL-01,SE,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,8
33,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,17
34,CHAL-01,SE,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,5
35,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,16
36,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,12
37,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,30
38,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,12
39,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,10
40,CHAL-01,SE,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,15
41,CHAL-01,NO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,10
42,CHAL-01,NO,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,4
43,CHAL-01,NO,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,6
44,CHAL-01,NO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,14
45,CHAL-01,NO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,12
46,CHAL-01,NO,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,7
47,CHAL-01,NO,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,10
48,CHAL-01,NO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,10
49,CHAL-01,NO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,18
50,CHAL-01,NO,low,13/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_minima,10
51,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,14
52,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,27
53,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,12
54,CHAL-01,SO,low,13/6/2024,Rosaceae,Alchemilla,Alchemilla_pinnata,1
55,CHAL-01,SO,low,13/6/2024,Rosaceae,Alchemilla,Alchemilla_pinnata,2
56,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,18
57,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,14
58,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,7
59,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,12
60,CHAL-01,SO,low,13/6/2024,Poaceae,Festuca,Festuca_peruviana,13
61,CHAL-03,NO,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
62,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,8
63,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,13
64,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,10
65,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,10
66,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,15
67,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,7
68,CHAL-03,NO,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,9
69,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,8
70,CHAL-03,NO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,13
71,CHAL-03,SE,low,16/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
72,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,7
73,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,6
74,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
75,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,7
76,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
77,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,12
78,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
79,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,12
80,CHAL-03,SE,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
81,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,7
82,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,13
83,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,5
