Evaluation_unit,Transect,Date,Cover,Subunit,Cover_perc,Fresh_weight
TAM-18,SO,6/11/2024,medium,T1,48,84
TAM-18,SO,6/11/2024,medium,T2,40,49
TAM-18,SO,6/11/2024,medium,T3,36,38
TAM-18,SO,6/11/2024,medium,T4,40,59
TAM-18,SO,6/11/2024,medium,T5,50,49
TAM-18,NO,6/11/2024,medium,T1,40,50
TAM-18,NO,6/11/2024,medium,T2,30,44
TAM-18,NO,6/11/2024,medium,T3,20,26
TAM-18,NO,6/11/2024,medium,T4,0,0
TAM-18,NO,6/11/2024,medium,T5,46,46
TAM-18,SE,6/11/2024,medium,T1,60,107
TAM-18,SE,6/11/2024,medium,T2,45,106
TAM-18,SE,6/11/2024,medium,T3,40,56
TAM-18,SE,6/11/2024,medium,T4,35,66
TAM-18,SE,6/11/2024,medium,T5,35,83
CHAL-01,SO,6/13/2024,low,T1,55,117
CHAL-01,SO,6/13/2024,low,T2,15,45
CHAL-01,SO,6/13/2024,low,T3,50,157
CHAL-01,SO,6/13/2024,low,T4,20,84
CHAL-01,SO,6/13/2024,low,T5,75,275
CHAL-01,NO,6/13/2024,low,T1,20,21
CHAL-01,NO,6/13/2024,low,T2,20,24
CHAL-01,NO,6/13/2024,low,T3,40,115
CHAL-01,NO,6/13/2024,low,T4,10,15
CHAL-01,NO,6/13/2024,low,T5,20,25
CHAL-01,SE,6/13/2024,low,T1,50,80
CHAL-01,SE,6/13/2024,low,T2,40,52
CHAL-01,SE,6/13/2024,low,T3,70,170
CHAL-01,SE,6/13/2024,low,T4,55,92
CHAL-01,SE,6/13/2024,low,T5,40,39
CHAL-03,NO,6/16/2024,low,T1,40,137
CHAL-03,NO,6/16/2024,low,T2,20,33
CHAL-03,NO,6/16/2024,low,T3,10,6
CHAL-03,NO,6/16/2024,low,T4,25,52
CHAL-03,NO,6/16/2024,low,T5,25,194
CHAL-03,SE,6/16/2024,low,T1,20,30
CHAL-03,SE,6/16/2024,low,T2,10,182
CHAL-03,SE,6/16/2024,low,T3,28,60
CHAL-03,SE,6/16/2024,low,T4,30,63
CHAL-03,SE,6/16/2024,low,T5,20,307
CHAL-03,SO,6/16/2024,low,T1,10,30
CHAL-03,SO,6/16/2024,low,T2,40,182
CHAL-03,SO,6/16/2024,low,T3,10,60
CHAL-03,SO,6/16/2024,low,T4,10,63
CHAL-03,SO,6/16/2024,low,T5,70,307
CHAL-04,NO,6/17/2024,medium,T1,75,386
CHAL-04,NO,6/17/2024,medium,T2,45,174
CHAL-04,NO,6/17/2024,medium,T3,40,53
CHAL-04,NO,6/17/2024,medium,T4,50,244
