Evaluation_unit,Cover,Date,Eval_quadrant,Utilization_degree
TAM-18,medium,11/6/2024,1,10
TAM-18,medium,11/6/2024,2,30
TAM-18,medium,11/6/2024,3,30
TAM-18,medium,11/6/2024,4,10
TAM-18,medium,11/6/2024,5,50
TAM-18,medium,11/6/2024,6,30
TAM-18,medium,11/6/2024,7,50
TAM-18,medium,11/6/2024,8,50
TAM-18,medium,11/6/2024,9,70
TAM-18,medium,11/6/2024,10,70
TAM-18,medium,11/6/2024,11,50
TAM-18,medium,11/6/2024,12,30
TAM-18,medium,11/6/2024,13,30
TAM-18,medium,11/6/2024,14,30
TAM-18,medium,11/6/2024,15,70
TAM-18,medium,11/6/2024,16,70
TAM-18,medium,11/6/2024,17,50
TAM-18,medium,11/6/2024,18,70
TAM-18,medium,11/6/2024,19,70
TAM-18,medium,11/6/2024,20,70
TAM-18,medium,11/6/2024,21,70
TAM-18,medium,11/6/2024,22,50
TAM-18,medium,11/6/2024,23,30
TAM-18,medium,11/6/2024,24,30
TAM-18,medium,11/6/2024,25,30
TAM-18,medium,11/6/2024,26,30
TAM-18,medium,11/6/2024,27,30
TAM-18,medium,11/6/2024,28,70
TAM-18,medium,11/6/2024,29,70
TAM-18,medium,11/6/2024,30,50
TAM-18,medium,11/6/2024,31,50
TAM-18,medium,11/6/2024,32,30
TAM-18,medium,11/6/2024,33,50
TAM-18,medium,11/6/2024,34,70
TAM-18,medium,11/6/2024,35,50
TAM-18,medium,11/6/2024,36,10
TAM-18,medium,11/6/2024,37,30
TAM-18,medium,11/6/2024,38,70
TAM-18,medium,11/6/2024,39,70
TAM-18,medium,11/6/2024,40,30
TAM-18,medium,11/6/2024,41,70
TAM-18,medium,11/6/2024,42,30
TAM-18,medium,11/6/2024,43,50
TAM-18,medium,11/6/2024,44,50
TAM-18,medium,11/6/2024,45,50
TAM-18,medium,11/6/2024,46,50
TAM-18,medium,11/6/2024,47,70
TAM-18,medium,11/6/2024,48,30
TAM-18,medium,11/6/2024,49,30
TAM-18,medium,11/6/2024,50,50
TAM-18,medium,11/6/2024,51,70
TAM-18,medium,11/6/2024,52,70
TAM-18,medium,11/6/2024,53,70
TAM-18,medium,11/6/2024,54,30
TAM-18,medium,11/6/2024,55,50
TAM-18,medium,11/6/2024,56,50
TAM-18,medium,11/6/2024,57,50
TAM-18,medium,11/6/2024,58,30
TAM-18,medium,11/6/2024,59,10
TAM-18,medium,11/6/2024,60,10
TAM-18,medium,11/6/2024,61,10
TAM-18,medium,11/6/2024,62,10
TAM-18,medium,11/6/2024,63,30
TAM-18,medium,11/6/2024,64,30
TAM-18,medium,11/6/2024,65,50
TAM-18,medium,11/6/2024,66,50
TAM-18,medium,11/6/2024,67,50
TAM-18,medium,11/6/2024,68,50
TAM-18,medium,11/6/2024,69,50
TAM-18,medium,11/6/2024,70,50
TAM-18,medium,11/6/2024,71,50
TAM-18,medium,11/6/2024,72,50
TAM-18,medium,11/6/2024,73,50
TAM-18,medium,11/6/2024,74,50
TAM-18,medium,11/6/2024,75,30
TAM-18,medium,11/6/2024,76,50
TAM-18,medium,11/6/2024,77,50
TAM-18,medium,11/6/2024,78,30
